title,artists,reason
SL4L,Geniio,MusicBrainz lookup failed
Magic 2,Nas,DB error: [WinError 10054] Uma ligação existente foi forçada a fechar pelo anfitrião remoto
The Greatest Story Never Told,Drex Carter,MusicBrainz lookup failed
Eternal Atake,Lil Uzi Vert,MusicBrainz lookup failed
MoveDon,donavns,MusicBrainz lookup failed
Welcome to Fazoland 1.5,G Herbo,MusicBrainz lookup failed
Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow,MusicBrainz lookup failed
L.I.F.E - Leaving an Impact for Eternity,Burna Boy,MusicBrainz lookup failed
skin purifying treatment ,underscores,MusicBrainz lookup failed
Slime Season 3,Young Thug,MusicBrainz lookup failed
all dogs go to heaven,glaive,MusicBrainz lookup failed
1 Doulbe 0,That Mexican OT,MusicBrainz lookup failed
Sorry 4 What,Tory Lanez,MusicBrainz lookup failed
Before the Garden Vol.1,Caleb Gordon,MusicBrainz lookup failed
Magic 3,Nas,MusicBrainz lookup failed
Wolf of Peachtree 2,Pi’erre Bourne,MusicBrainz lookup failed
The Voice,Lil Durk,MusicBrainz lookup failed
Humble Beast,G Herbo,MusicBrainz lookup failed
WUNNA,Gunna,MusicBrainz lookup failed
Summer Of Separation,donavns,MusicBrainz lookup failed
5L NUEVE,Nuevo Lio,MusicBrainz lookup failed
The Black House,Sleepy Hallow,MusicBrainz lookup failed
Days Before Dreamboy,Lil Nas X,MusicBrainz lookup failed
